,budget,cast,close,director,gross,mpaa,open,opening_gross,opening_theaters,rank,rating,season,studio,title,year,June-Sep,Oct-Nov,Jan-May,Dec,mpaa_new,PG,R,PG-13,prol_studio,Tier_2
1091191,40000000.0,,4/10,,125095601.0,Rated R for strong bloody war violence and pervasive language,12/25,90872.0,2.0,24,7.6,Dec,Uni.,Lone Survivor,2013,False,False,False,True,R,False,True,False,False,False
0901476,30000000.0,,5/10,,58715510.0,"Rated PG for suggestive content, language and some rude behavior",1/9,21058173.0,3226.0,56,5.4,Jan-May,Fox,Bride Wars,2009,False,False,True,False,PG,True,False,False,False,False
1756427,500000.0,,6/16,,100370.0,"Rated R for crude and sexual content throughout, pervasive language and some violence",4/1,16346.0,5.0,348,2.5,Jan-May,Magn.,Rubber,2011,False,False,True,False,R,False,True,False,False,False
1007018,10000000.0,,9/10,,19716.0,Rated PG-13 for some language,8/28,13323.0,14.0,428,5.5,June-Sep,Anch.,The Open Road,2009,True,False,False,False,PG-13,False,False,True,False,True
1535612,15000000.0,,11/17,,30680.0,"Rated R for violence, pervasive language and brief disturbing sexual content",11/4,18015.0,10.0,453,5.1,Oct-Nov,Anch.,The Son of No One,2011,False,True,False,False,R,False,True,False,False,True
2515086,10000000.0,,10/6,,28873374.0,Rated PG for mild language,8/30,15815497.0,2735.0,93,4.0,June-Sep,TriS,One Direction: This is Us,2013,True,False,False,False,PG,True,False,False,False,False
0821642,60000000.0,,7/9,,31720158.0,"Rated PG-13 for thematic elements, some drug use and language",4/24,9716458.0,2024.0,92,6.7,Jan-May,P/DW,The Soloist,2009,False,False,True,False,PG-13,False,False,True,False,False
1017451,9500000.0,,6/3,,3573673.0,"Rated R for language, drug use and sexual content - all involving teens",3/19,805115.0,244.0,158,6.6,Jan-May,App.,The Runaways,2010,False,False,True,False,R,False,True,False,False,True
0810784,8500000.0,,12/10,,4444637.0,"Rated PG for thematic elements, some sensuality, brief language and incidental smoking",9/16,189703.0,19.0,163,7.0,June-Sep,App.,Bright Star,2009,True,False,False,False,PG,True,False,False,False,True
1985017,10000000.0,,11/29,,3336053.0,Rated PG-13 for brief language,10/12,1751572.0,1012.0,163,5.5,Oct-Nov,ADC,Atlas Shrugged: Part II,2012,False,True,False,False,PG-13,False,False,True,True,False
1596365,15000000.0,,5/3,,54333290.0,Rated PG-13 for thematic material and violence/disturbing images,2/3,20874072.0,2855.0,61,6.4,Jan-May,CBS,The Woman in Black,2012,False,False,True,False,PG-13,False,False,True,False,False
1621039,55000000.0,,3/20,,55750480.0,Rated PG for some action/peril and rude humor,11/1,15805237.0,3736.0,63,5.9,Oct-Nov,Rela.,Free Birds,2013,False,True,False,False,PG,True,False,False,False,False
1212419,50000000.0,,1/13,,32746941.0,"Rated PG-13 for mature thematic elements including disturbing disaster and accident images, and for brief strong language",10/15,220322.0,6.0,88,6.5,Oct-Nov,WB,Hereafter,2010,False,True,False,False,PG-13,False,False,True,False,False
1625346,12000000.0,,2/23,,16311571.0,Rated R for language and some sexual content,12/9,310263.0,8.0,125,6.3,Dec,Par.,Young Adult,2011,False,False,False,True,R,False,True,False,False,False
1216491,5000000.0,,12/11,,2450846.0,Rated R for language and drug content,10/10,941809.0,374.0,178,7.0,Oct-Nov,Focus,Kill the Messenger,2014,False,True,False,False,R,False,True,False,False,False
1321870,60000000.0,,4/4,,46000903.0,Rated R for strong violence and language,1/11,17070347.0,3103.0,71,6.8,Jan-May,WB,Gangster Squad,2013,False,False,True,False,R,False,True,False,False,False
0814335,20000000.0,,11/22,,29062561.0,"Rated PG-13 for intense sequences of violence, disturbing images, mature thematic material and brief sensuality",10/16,11581586.0,2734.0,95,5.6,Oct-Nov,SGem,The Stepfather ,2009,False,True,False,False,PG-13,False,False,True,False,False
1341167,3750000.0,,2/24,,304616.0,"Rated R for language throughout, including some sexual references",11/5,41512.0,8.0,257,7.3,Oct-Nov,Drft.,Four Lions,2010,False,True,False,False,R,False,True,False,False,False
0804497,8000000.0,,11/25,,6363628.0,"Rated PG-13 for mature thematic issues, sexual content, drug material and language",10/8,2013406.0,742.0,146,7.2,Oct-Nov,Focus,It's Kind of a Funny Story,2010,False,True,False,False,PG-13,False,False,True,False,False
1634003,2500000.0,,9/19,,35271.0,Rated PG for some rude humor and mild action,8/16,18722.0,4.0,448,6.7,June-Sep,Free,Underdogs,2013,True,False,False,False,PG,True,False,False,False,False
0905372,38000000.0,,11/17,,16928670.0,"Rated R for strong creature violence and gore, disturbing images, and language",10/14,8493665.0,2996.0,124,6.2,Oct-Nov,Uni.,The Thing ,2011,False,True,False,False,R,False,True,False,False,False
1075417,50000000.0,,7/9,,67172594.0,"Rated PG for sequences of action and violence, frightening and dangerous situations, and some thematic elements",3/13,24402214.0,3187.0,49,5.7,Jan-May,BV,Race to Witch Mountain,2009,False,False,True,False,PG,True,False,False,False,True
