,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
63,448011,0.0,0.0,0.0,3.0,2.0,1,57,Knowing,2009,1
64,443272,0.0,1.0,0.0,0.0,3.0,3,11,Lincoln,2012,1
65,1126618,0.0,0.0,0.0,2.0,3.0,3,42,Morning Glory,2010,1
66,1179258,0.0,0.0,0.0,0.0,2.0,2,33,Cheri,2009,2
67,1375670,0.0,1.0,1.0,3.0,2.0,2,56,Grown Ups,2010,1
68,1650554,0.0,0.0,0.0,3.0,3.0,2,61,Kick-Ass 2,2013,2
69,1092026,0.0,0.0,0.0,3.0,3.0,1,61,Paul,2011,2
70,3722118,0.0,0.0,0.0,0.0,2.0,3,47,God the Father,2014,2
71,2302755,0.0,0.0,0.0,3.0,3.0,1,17,Olympus Has Fallen,2013,2
72,1430615,0.0,0.0,0.0,2.0,3.0,1,61,Big Miracle,2012,0
73,1423995,0.0,0.0,0.0,0.0,2.0,3,37,Stone,2010,2
74,2618368,0.0,0.0,0.0,0.0,3.0,1,44,Gloria ,2014,2
75,1855199,0.0,0.0,0.0,3.0,4.0,2,35,End of Watch,2012,2
76,1568346,1.0,0.0,0.0,3.0,4.0,0,56,The Girl with the Dragon Tattoo ,2011,2
77,1425922,0.0,0.0,0.0,1.0,1.0,3,21,Black Nativity,2013,0
78,988045,1.0,1.0,1.0,4.0,4.0,0,66,Sherlock Holmes,2009,1
79,993842,0.0,0.0,0.0,2.0,3.0,1,19,Hanna,2011,1
80,452694,0.0,0.0,0.0,3.0,3.0,2,67,The Time Traveler's Wife,2009,1
81,429493,1.0,0.0,0.0,3.0,3.0,2,20,The A-Team,2010,1
82,872230,0.0,0.0,0.0,2.0,1.0,3,61,My Soul to Take,2010,2
83,970179,2.0,0.0,0.0,1.0,4.0,3,42,Hugo,2011,0
84,1542344,0.0,0.0,0.0,0.0,4.0,3,21,127 Hours,2010,2
85,2042568,0.0,0.0,0.0,0.0,3.0,0,12,Inside Llewyn Davis,2013,2
86,1212450,0.0,0.0,0.0,3.0,3.0,2,68,Lawless,2012,2
87,990407,1.0,0.0,0.0,4.0,2.0,1,56,The Green Hornet,2011,1
88,1631867,2.0,0.0,0.0,3.0,4.0,2,66,Edge of Tomorrow,2014,1
89,1560985,0.0,0.0,0.0,2.0,1.0,1,42,The Devil Inside,2012,2
90,892769,1.0,1.0,1.0,4.0,4.0,1,38,How to Train Your Dragon,2010,0
91,1956620,0.0,0.0,0.0,3.0,2.0,2,56,Sex Tape,2014,2
92,1067774,0.0,0.0,0.0,2.0,2.0,2,20,Monte Carlo,2011,0
93,1045772,0.0,0.0,0.0,0.0,3.0,0,44,"I Love You, Phillip Morris",2010,2
94,1560747,0.0,0.0,0.0,0.0,3.0,2,68,The Master,2012,2
95,1490017,0.0,1.0,1.0,4.0,4.0,1,66,The LEGO Movie,2014,0
96,1714206,0.0,0.0,0.0,0.0,3.0,2,2,The Spectacular Now,2013,2
97,762125,0.0,0.0,0.0,3.0,2.0,3,56,Planet 51,2009,0
98,2582802,0.0,0.0,0.0,0.0,4.0,3,53,Whiplash,2014,2
99,464154,0.0,0.0,0.0,2.0,2.0,2,65,Piranha 3D,2010,2
100,1241226,0.0,0.0,0.0,0.0,1.0,1,10,Locker 13,2014,2
101,2557490,0.0,0.0,0.0,3.0,2.0,1,61,A Million Ways to Die in the West,2014,2
102,1791528,0.0,0.0,0.0,0.0,3.0,0,66,Inherent Vice,2014,2
103,3099498,0.0,0.0,0.0,0.0,2.0,2,2,Tusk,2014,2
104,1361313,0.0,0.0,0.0,0.0,2.0,2,32,The Extra Man,2010,2
105,1622547,0.0,0.0,0.0,3.0,2.0,2,56,30 Minutes or Less,2011,2
106,1119646,0.0,1.0,1.0,3.0,4.0,2,66,The Hangover,2009,2
107,780653,1.0,0.0,0.0,3.0,2.0,1,61,The Wolfman,2010,2
108,2247476,0.0,0.0,0.0,2.0,3.0,2,60,When the Game Stands Tall,2014,0
109,1649419,0.0,0.0,0.0,0.0,4.0,0,27,The Impossible,2012,1
110,1211890,0.0,0.0,0.0,0.0,3.0,3,4,Middle of Nowhere ,2012,2
111,1232829,0.0,0.0,1.0,3.0,3.0,1,56,21 Jump Street,2012,2
