,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
601,421237,Low,Low,Low,Low,Low,Jan-May,21CF,Royal Kill,2009,PG-13
602,1333125,Low,Low,Low,Medium,Low Medium,Jan-May,Rela.,Movie 43,2013,R
603,1629705,Low,Low,Low,Low,Medium High,Oct-Nov,Magn.,Blackthorn,2011,R
604,1798243,Low,Low,Low,Low,Medium High,Oct-Nov,Gold.,Rudderless,2014,R
605,1586752,Low,Low,Low,Low,Medium High,June-Sep,Rela.,Machine Gun Preacher,2011,R
606,2023587,Low,Low,Low,Medium,Medium,Jan-May,Uni.,Mama,2013,PG-13
607,1509767,Low Medium,Low,Low,Medium High,Medium,Oct-Nov,Sum.,The Three Musketeers ,2011,PG-13
608,1870529,Low,Low,Low,Medium,Medium High,June-Sep,Fox,Won't Back Down,2012,PG
609,1540128,Low,Low,Low,Medium High,Medium,Dec,FD,Playing for Keeps,2012,PG-13
610,831387,Low Medium,Low Medium,Medium,High,Medium High,Jan-May,WB,Godzilla ,2014,PG-13
611,1201167,Low,Low,Low,Medium High,Medium High,June-Sep,Uni.,Funny People,2009,R
612,963966,Low Medium,Low,Low,Medium High,Medium,June-Sep,BV,The Sorcerer's Apprentice,2010,PG
613,1392170,Low,Medium,High,High,Medium High,Jan-May,LGF,The Hunger Games,2012,PG-13
614,1837703,Low,Low,Low,Low Medium,Medium,Oct-Nov,BV,The Fifth Estate,2013,R
615,2023453,Low,Low,Low,Medium High,Medium High,June-Sep,Fox,Diary of a Wimpy Kid: Dog Days,2012,PG
616,1078588,Low,Low,Low,Medium,Medium High,June-Sep,WB,My Sister's Keeper,2009,PG-13
617,1814621,Low,Low,Low,Medium,Medium,Jan-May,Focus,Admission,2013,PG-13
618,2024469,Low,Low,Low,Medium High,Medium High,Jan-May,Uni.,Non-Stop,2014,PG-13
619,3210686,Low,Low,Low,Medium High,Medium,Jan-May,Fox,Son of God,2014,PG-13
620,1441326,Low,Low,Low,Low,Medium High,Oct-Nov,FoxS,Martha Marcy May Marlene,2011,R
621,488604,Low,Low,Low,Low,Medium,June-Sep,Magn.,The Oxford Murders,2010,R
622,1758830,Low,Low,Low,Medium High,Medium,Dec,Uni.,This Is 40,2012,R
